05D2ay	0.92	24.672	0.983	0.014	0.349
05D2ob	0.924	24.822	1.103	0.033	0.318
03D4cy	0.927	24.705	1.103	-0.032	0.346
06D2cd	0.93	24.876	1.166	0.051	0.49
04D4jy	0.93	24.765	1.022	-0.076	0.345
04D4ih	0.934	24.43	1.03	-0.166	0.276
Vilas	0.935	24.473	1.036	-0.028	0.272
04D4hf	0.936	24.811	1.081	0.028	0.35
05D3la	0.936	24.494	0.967	-0.083	0.267
03D4cx	0.949	24.464	0.947	0.019	0.331
04D1pd	0.95	24.734	1.039	0.022	0.298
04D3ml	0.95	24.56	1.117	-0.077	0.29
04D3nr	0.96	24.587	0.99	0.005	0.299
05D3km	0.96	24.773	1.022	-0.123	0.28
04D4jw	0.961	24.848	0.892	-0.173	0.365
Patuxent	0.97	25.026	0.962	-0.129	0.356
Ombo	0.975	24.891	1.208	0.018	0.271
05D2my	0.981	24.688	1.13	-0.026	0.305
04D3lp	0.983	25.023	0.816	-0.044	0.378
04D1rx	0.985	24.77	1.081	-0.062	0.307
04D1iv	0.998	24.624	1.152	-0.074	0.285
06D4cl	1	24.578	1.13	-0.065	0.296
04D3dd	1.002	25.234	1.112	-0.016	0.412
Strolger	1.01	24.99	1.195	-0.077	0.433
Eagle	1.02	24.968	1.017	-0.061	0.289
Ferguson	1.02	24.867	1.023	0.007	0.329
04D4dw	1.031	24.546	1.127	-0.08	0.326
06D3en	1.06	24.756	0.858	-0.139	0.358
Gabi	1.12	25.121	1.048	-0.037	0.278
Greenberg	1.14	24.727	1.09	-0.055	0.325
Lancaster	1.23	26.054	0.969	0.073	0.335
Torngasek	1.265	25.757	1.04	0.028	0.354
Aphrodite	1.3	25.691	1.058	0.013	0.284
Borg	1.34	25.87	1.192	0.09	0.389
Sasquatch	1.39	25.956	1.193	0.112	0.535
Primo	1.54992	25.7576	0.168369	-0.197134	0.6329682
 GND13Sto 	1.8	26.1369	0.527158	-0.0156538	0.9455797
UDS10Wil	1.914	26.2	-0.5	-0.071	0.85
GND12Col	2.25	26.791	1.1517	0.0421647	1.381078
